Symbol,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
K,0.1797752808988764,0.13915613928725823,0.7043010752688172,0.14432989690721643,0.7011070110701106,0.16737588652482271
Ho,0.7191011235955056,0.6836762980666664,0.6129032258064515,0.37800687285223367,0.33579335793357934,0.14609929078014186
Pr,0.6292134831460674,0.5797216124254017,0.7258064516129035,0.37800687285223367,0.4206642066420664,0.23120567375886525
Tm,0.7415730337078652,0.7010025622284853,0.5913978494623657,0.37800687285223367,0.3025830258302583,0.2397163120567376
Li,0.0,0.0,0.29569892473118276,0.34707903780068716,0.3487084870848709,0.1843971631205674
Ga,0.3146067415730337,0.27168017018632307,0.12903225806451613,0.41237113402061865,0.04981549815498154,0.1574468085106383
Ca,0.19101123595505617,0.14339565161135656,0.4408602150537635,0.06872852233676985,0.3210332103321033,0.1021276595744681
Na,0.0898876404494382,0.06944875954128278,0.4193548387096775,0.29209621993127155,0.33579335793357934,0.174468085106383
Bi,0.898876404494382,0.8742966204634687,0.16666666666666663,0.9243986254295533,0.03690036900369004,0.22836879432624116
Mg,0.10112359550561797,0.07514023884418007,0.17741935483870963,0.6013745704467355,0.09594095940959407,0.0425531914893617
In,0.5168539325842697,0.4668223649961768,0.23655913978494625,0.37800687285223367,0.07933579335793356,0.14042553191489363
V,0.22471910112359547,0.19040590182350525,0.31720430107526876,0.5498281786941581,0.12915129151291513,0.1716312056737589
Y,0.4044943820224719,0.35469122355605814,0.5376344086021507,0.40893470790377995,0.3191881918819188,0.14184397163120568
Yb,0.7528089887640449,0.7187697841384165,0.5913978494623657,0.37800687285223367,0.2878228782287823,0.09645390070921986
Hg,0.8651685393258427,0.837988488363086,0.31720430107526876,1.0,0.0,0.028368794326241134
Ba,0.5955056179775281,0.5642268591302271,0.7580645161290323,0.13745704467353947,0.6328413284132842,0.11914893617021277
U,0.9999999999999999,0.9999999999999999,0.33870967741935487,0.4810996563573884,0.40590405904059035,0.1716312056737589
Th,0.9775280898876405,0.9740756655800672,0.3655913978494624,0.41237113402061865,0.492619926199262,0.2595744680851064
Lu,0.7640449438202247,0.7271086023976159,0.564516129032258,0.37800687285223367,0.3044280442804428,0.14609929078014186
Cs,0.5842696629213483,0.545093144210493,1.0,0.061855670103092786,1.0,0.1645390070921986
Mo,0.4382022471910112,0.3851305066167463,0.4193548387096775,0.6529209621993126,0.13653136531365315,0.20141843971631207
Tl,0.8764044943820225,0.8544034542699985,0.23655913978494625,0.41237113402061865,0.04059040590405902,0.150354609929078
Sn,0.5280898876404495,0.4836644411066093,0.17741935483870963,0.7903780068728521,0.04243542435424352,0.25106382978723407
Sr,0.3932584269662921,0.34912689067666464,0.575268817204301,0.0,0.4095940959409594,0.10638297872340426
Sb,0.5393258426966292,0.4968628820461825,0.11290322580645162,0.9793814432989689,0.022140221402214,0.24255319148936172
Al,0.11235955056179775,0.08672258045531593,0.032258064516129004,0.4226804123711341,0.05350553505535055,0.15886524822695036
Hf,0.7752808988764045,0.7423538835222442,0.5161290322580645,0.6185567010309279,0.1992619926199262,0.1021276595744681
Be,0.011235955056179775,0.008962736690237786,0.0,0.9965635738831615,0.0036900369003689815,0.028368794326241134
Ti,0.21348314606741572,0.17715769627055333,0.34408602150537637,0.49828178694158076,0.16974169741697417,0.11063829787234043
Cr,0.23595505617977527,0.194969533238218,0.29032258064516125,0.59106529209622,0.11439114391143909,0.19148936170212766
Ru,0.4606741573033708,0.4073298515413399,0.3548387096774194,0.859106529209622,0.07749077490774905,0.24255319148936172
W,0.7977528089887641,0.7655052471375611,0.435483870967742,0.8247422680412373,0.1051660516605166,0.21134751773049648
