,metal,linker_SMILES
110,Cu,O=C1C(=O)C(=O)C1=O
111,Mn,O=PO
112,Mn,O=CO
113,Mn,Nc1nnn[nH]1
114,Cu,Cc1nn(Cn2nc(C)c(-c3ccc(C(=O)O)cc3)c2C)c(C)c1-c1ccc(C(=O)O)cc1
115,Fe,c1nnc[nH]1
116,Cd,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
117,Na,N#CC1=NC(C(F)(F)F)=N[C@@H]1C#N
118,Na,N#Cc1nc(C(F)(F)F)[nH]c1C#N
119,Ag,OC(O)C(O)O
120,Ag,O=C(O)C(=O)O
121,Ag,OS(O)(O)CCS(O)(O)O
122,Ag,OS(O)(O)CCCCS(O)(O)O
123,Mn,O=C(O)CN1C=C(O)CC(C(=O)O)=C1
124,Cu,O=C(O)c1cc(C(=O)O)nc(C(=O)O)c1
125,Cu,c1nncn1-n1cnnc1
126,K,N#C[C@@H]1C(=O)C(=O)C(Cl)=C(O)C1=O
127,Cd,c1cn(Cn2ccnc2)cn1
128,Ce,O=C(O)c1cc(O)cc(C(=O)O)n1
129,La,O=C(O)c1cc(O)cc(C(=O)O)n1
130,Cu,O=C(O)c1cc(C(=O)O)cc(C(=O)N2CCC[C@H]2C(=O)O)c1
131,Fe,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
132,Cu,O=C(O)c1ccncc1
133,Li,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
134,Ho,O=C(O)c1ccc(C#Cc2cc(C#Cc3ccc(C(=O)O)cc3)cc(C#Cc3ccc(C(=O)O)cc3)c2)cc1
135,Pb,O=C(O)[C@H](O)[C@@H](O)C(=O)O
136,Co,O=C(O)c1ccc(C(=O)O)c2ccccc12
137,Mn,Nc1cc(N)cc(C(=O)O)c1
138,Cd,Nc1cc(N)cc(C(=O)O)c1
139,Mn,Nc1ccc(C(=O)O)cc1
140,Cu,[C]CCP(=O)(O)O
141,Cu,O=P(O)(O)CCCCP(=O)(O)O
142,Cu,O=P(O)(O)CCCCCP(=O)(O)O
143,Eu,O=C(O)c1cccc(C(=O)O)c1
144,Sm,O=C(O)c1cccc(C(=O)O)c1
145,Mn,Oc1ccc(O)cc1
146,Pb,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
147,Cu,CCc1n[nH]c(CC)n1
148,Bi,CSc1ccc(C#Cc2cc(C#Cc3ccc(SC)cc3)c(C#Cc3ccc(SC)cc3)cc2C#Cc2ccc(SC)cc2)cc1
149,Bi,CSc1ccc(-c2cc(-c3ccc(SC)cc3)c3ccc4c(-c5ccc(SC)cc5)cc(-c5ccc(SC)cc5)c5ccc2c3c54)cc1
150,Cd,O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
151,Pb,O=C(O)c1cccc(P(=O)(O)O)c1
152,Mg,CO[C@H]1C(=O)C(=O)[C@H](C)C(=O)C1=O
153,Cd,O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O
154,Cd,Nc1cc(C(=O)O)cc(C(=O)O)c1
155,Cd,O=C(O)c1ccc(NNc2ccc(C(=O)O)cc2)cc1
156,Cu,CCc1cnccn1
157,Cu,O=C(Oc1cc(OC(=O)c2ccncc2)cc(OC(=O)c2ccncc2)c1)c1ccncc1
158,Ag,N#Cc1ccc(CN2CCC(C3CCN(Cc4ccc(C#N)cc4)CC3)CC2)cc1
159,Mn,COc1cc(C(=O)O)c(OC)cc1C(=O)O
160,Zn,COc1cc(C(=O)O)c(OC)cc1C(=O)O
161,Cd,O=C(Cc1ccc(CC(=O)Nc2cccnc2)cc1)Nc1cccnc1
162,Gd,O=C(O)CC(=O)O
163,Tb,O=C(O)c1ccc(-c2cncc(-c3ccc(C(=O)O)cc3C(=O)O)c2)c(C(=O)O)c1
164,Pr,O=C(O)CC(=O)O
165,Cu,O=C(O)c1cc(C(=O)O)cc(-n2c(=O)c3cc4c(=O)n(-c5cc(C(=O)O)cc(C(=O)O)c5)c(=O)c4cc3c2=O)c1
166,Zn,O=C(O)c1cc(C(=O)O)cc(-n2c(=O)c3cc4c(=O)n(-c5cc(C(=O)O)cc(C(=O)O)c5)c(=O)c4cc3c2=O)c1
167,Ca,O=C1CC(=O)C(=O)CC1=O
168,Zn,O=C(Nc1ccc(C(=O)O)cc1)Nc1cc(NC(=O)Nc2ccc(C(=O)O)cc2)cc(NC(=O)Nc2ccc(C(=O)O)cc2)c1
169,In,O=C(Nc1ccc(C(=O)O)cc1)Nc1cc(NC(=O)Nc2ccc(C(=O)O)cc2)cc(NC(=O)Nc2ccc(C(=O)O)cc2)c1
