,2253
109,-0.00055207405
110,-0.0004061765
111,-0.0044231527
112,-0.00049191323
113,-0.00087121146
114,-0.001608973
115,-0.00086720905
116,-0.0003933866
117,-0.0034211604
118,-0.0033526917
119,-0.0026289746
120,-0.0004590574
121,-0.0009667177
122,-0.0018715012
123,-0.0019635253
124,-0.00060335774
125,-0.0013630565
126,-0.0041215536
127,-0.0016036972
128,-0.0014758214
129,-0.0011331518
130,-0.0019919963
131,-0.0005232576
132,-0.0005536912
133,-0.00093798473
134,-0.001150456
135,-0.00041040735
136,-0.00044348167
137,-0.0019026605
138,-0.001896003
139,-0.0011127937
140,-0.0031880802
141,-0.0009692744
142,-0.0013038345
143,-0.0006623056
144,-0.0008675797
145,-0.0010022061
146,-0.0041903662
147,-0.0022176597
148,-0.0034713186
149,-0.0037762218
150,-0.0004802933
151,-0.0021554506
152,-0.005590266
153,-0.0011353163
154,-0.00045428332
155,-0.0006406132
156,-0.0038352413
157,-0.0023597758
158,-0.003998985
159,-0.0017244875
160,-0.0016130853
161,-0.00510071
162,-0.0008772827
163,-0.004815108
164,-0.00082373776
165,-0.00212975
166,-0.0021271545
167,-0.0014452252
168,-0.0019839518
169,-0.0025144273
170,-0.003065176
171,-0.0024522026
172,-0.0002819468
173,-0.000632204
174,-0.0002852249
175,-0.0042154416
176,-0.0024696914
177,-0.0006157462
178,-0.0006526429
179,-0.0005353811
180,-0.00048564124
181,-0.0018833223
182,-0.0004847218
183,-0.0004627241
184,-0.00040169846
185,-0.0009297066
186,-0.00039043475
187,-0.0012582156
188,-0.0012945388
189,-0.0010839135
190,-0.0012418693
191,-0.0014078245
192,-0.0013538142
193,-0.00043333956
194,-0.00089121656
195,-0.0012978057
196,-0.0026041777
197,-0.003650324
198,-0.0012202548
199,-0.00038040528
200,-0.00039796493
201,-0.00042793015
202,-0.00062509003
203,-0.00044248847
204,-0.0006344159
205,-0.00062217726
206,-0.00050779537
207,-0.00053094415
208,-0.0003693041
209,-0.0005310201
210,-0.0006767522
211,-0.00072433945
212,-0.0034786167
213,-0.0031565337
214,-0.0024962965
215,-0.0028055834
216,-0.0005859879
217,-0.0007245678
218,-0.0024741488
219,-0.0011559001
220,-0.0012437442
221,-0.0012173713
222,-0.0013640804
223,-0.0010732628
224,-0.0010847144
225,-0.0011359677
226,-0.0018096089
227,-0.000859087
228,-0.0030647127
229,-0.0007443586
230,-0.0005631013
231,-0.00074714166
232,-0.0007443586
233,-0.0005631013
234,-0.00074714166
235,-0.00061622413
236,-0.00038905934
237,-0.0012553061
238,-0.0017822993
239,-0.0016705344
240,-0.004378084
241,-0.0011185615
242,-0.0011203812
243,-0.0015666427
244,-0.003732796
245,-0.0016129989
246,-0.003738744
247,-0.0003622707
248,-0.0003266671
249,-0.0025219503
250,-0.0008125269
251,-0.00083237427
252,-0.0015296743
253,-0.0009329689
254,-0.0010720851
255,-0.0008663214
256,-0.0010866557
