,2253
553,-0.005488259
554,-0.006414824
555,-0.0008263251
556,-0.0019103059
557,-0.0009753842
558,-0.0032975853
559,-0.0017014965
560,-0.0012207968
561,-0.0008715662
562,-0.0034685968
563,-0.0025772175
564,-0.001885944
565,-0.0056546703
566,-0.002373264
567,-0.0016984025
568,-0.0018409865
569,-0.0012824116
570,-0.00332346
571,-0.0029753488
572,-0.00592405
573,-0.001817593
574,-0.005591881
575,-0.0012810325
576,-0.0018182724
577,-0.0014095829
578,-0.0018719307
579,-0.0023332413
580,-0.0026927157
581,-0.0026722236
582,-0.000878127
583,-0.0010162883
584,-0.0021711811
585,-0.0021821342
586,-0.0060940795
587,-0.004219734
588,-0.0038102726
589,-0.0021813593
590,-0.0052184165
591,-0.0015662452
592,-0.0041211
593,-0.0021686333
594,-0.0051447563
595,-0.004980684
596,-0.0011845682
597,-0.0028386796
598,-0.005125761
599,-0.0046508797
600,-0.0059493296
601,-0.0010308486
602,-0.0023957994
603,-0.006827848
604,-0.0020290958
605,-0.0076005496
606,-0.0041713384
607,-0.005870332
608,-0.0027440083
609,-0.0017169248
610,-0.0021077285
611,-0.0010318782
612,-0.00058493135
613,-0.0042634043
614,-0.0060400637
615,-0.004143148
616,-0.005212485
617,-0.0025148739
618,-0.005324844
619,-0.0033452755
620,-0.0008698922
621,-0.00097071804
622,-0.0068596336
623,-0.003251737
624,-0.0038315174
625,-0.0025194155
626,-0.0016051838
627,-0.0012333456
628,-0.0025898956
629,-0.0007665259
630,-0.0009943369
631,-0.0013354962
632,-0.0051142434
633,-0.004701496
634,-0.0027051098
635,-0.0021206439
636,-0.0018410877
637,-0.0019500636
638,-0.005758045
639,-0.002920139
640,-0.00547443
641,-0.0024959429
642,-0.0045099556
643,-0.0015413751
644,-0.00307135
645,-0.0014119197
646,-0.001030504
647,-0.004995081
648,-0.0010296642
649,-0.005806335
650,-0.0013759873
651,-0.0034312909
652,-0.0051184157
653,-0.006907507
654,-0.0039022523
655,-0.001151034
656,-0.0068891803
657,-0.004668751
658,-0.0057261325
659,-0.0012376133
660,-0.004940819
661,-0.0040567084
662,-0.0014795697
663,-0.0014325387
664,-0.0046044346
665,-0.0049517364
666,-0.0068619573
667,-0.0019156737
668,-0.004203561
669,-0.0061926306
670,-0.0038615859
671,-0.0008270804
672,-0.0069851135
673,-0.0045585595
674,-0.004119982
675,-0.004499835
676,-0.0021618782
677,-0.004552311
678,-0.0030351835
679,-0.0042652357
680,-0.000841181
681,-0.002572251
682,-0.0019715007
683,-0.0018412664
684,-0.0052368203
685,-0.00090438745
686,-0.0011487299
687,-0.0024376872
688,-0.0061796564
689,-0.0018527517
690,-0.0019125362
691,-0.00090589776
692,-0.0013584719
693,-0.0025388706
694,-0.0026247397
695,-0.0019015146
696,-0.0030461615
697,-0.002014107
698,-0.0007728678
